"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34","match35","match36","match37","match38"
"2018/19","Everton",38,"D","W","D","D","L","L","W","W","W","L","W","D","W","L","D","D","L","L","W","L","L","W","L","W","L","L","L","W","D","L","W","W","W","L","W","D","W","D"
"2018/19","Fulham",38,"L","L","W","D","L","D","L","L","L","L","L","L","W","L","D","L","L","D","D","W","L","L","L","W","L","L","L","L","L","L","L","L","L","W","W","W","L","L"
"2018/19","Huddersfield Town",38,"L","L","D","D","L","L","L","D","L","L","W","D","W","L","L","L","L","L","L","L","L","D","L","L","L","L","L","W","L","L","L","L","L","L","L","L","D","D"
"2018/19","Leicester City",38,"L","W","W","L","L","W","W","L","L","D","W","D","D","W","D","L","L","W","W","L","W","L","L","D","L","L","L","W","L","W","W","W","W","L","D","W","L","D"
"2018/19","Liverpool",38,"W","W","W","W","W","W","D","D","W","W","D","W","W","W","W","W","W","W","W","W","L","W","W","D","D","W","D","W","D","W","W","W","W","W","W","W","W","W"
"2018/19","Manchester City",38,"W","W","D","W","W","W","W","D","W","W","W","W","W","W","W","L","W","L","L","W","W","W","W","L","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"2018/19","Manchester United",38,"W","L","L","W","W","D","L","W","D","W","W","L","D","D","D","W","L","W","W","W","W","W","W","D","W","W","D","W","W","L","L","W","L","W","L","D","D","L"
"2018/19","Newcastle United",38,"L","D","L","L","L","D","L","L","L","D","W","W","W","L","D","L","W","D","L","D","L","L","W","W","L","D","W","W","L","W","D","L","L","W","W","D","L","W"
"2018/19","Southampton",38,"D","L","L","W","D","L","L","L","D","D","L","D","L","D","L","L","W","W","L","L","D","W","W","D","D","L","L","W","L","W","D","W","L","W","L","D","L","D"
"2018/19","Tottenham Hotspur",38,"W","W","W","L","L","W","W","W","W","L","W","W","W","L","W","W","W","W","W","L","W","L","W","W","W","W","L","L","D","L","W","L","W","W","L","L","L","D"
