"season","team","matches","match1","match2","match3","match4","match5","match6","match7","match8","match9","match10","match11","match12","match13","match14","match15","match16","match17","match18","match19","match20","match21","match22","match23","match24","match25","match26","match27","match28","match29","match30","match31","match32","match33","match34","match35","match36","match37","match38"
"2017/18","Valencia",38,"W","D","D","D","W","W","W","W","W","W","W","W","D","L","W","L","L","W","W","L","L","L","W","W","W","D","W","W","W","W","W","L","L","D","D","L","W","W"
"2017/18","Villarreal",38,"L","L","W","W","D","L","W","W","W","D","W","D","L","L","L","W","W","D","W","W","W","L","L","D","W","L","L","W","W","L","L","D","W","L","W","W","W","D"
"2018/19","Alaves",38,"L","D","W","W","W","D","L","W","W","W","L","W","L","D","L","D","W","W","D","L","L","L","W","D","D","W","D","W","L","L","D","L","D","L","D","L","L","W"
"2018/19","Athletic Bilbao",38,"W","D","D","D","D","L","D","L","D","D","L","L","D","L","W","D","D","W","W","D","W","L","D","W","W","L","D","W","W","W","L","W","L","W","D","L","W","L"
"2018/19","Atletico Madrid",38,"D","W","L","D","W","W","D","W","D","W","D","W","D","D","W","W","W","D","W","W","W","L","L","W","W","W","W","L","W","W","L","W","W","W","W","L","D","D"
"2018/19","Barcelona",38,"W","W","W","W","D","L","D","D","W","W","W","L","D","W","W","W","W","W","W","W","W","D","D","W","W","W","W","W","W","D","W","D","W","W","W","L","W","D"
"2018/19","Celta Vigo",38,"D","W","W","L","D","D","D","L","L","W","D","L","L","W","W","D","L","L","L","L","L","W","L","L","D","L","L","L","W","D","W","L","W","D","D","W","L","D"
"2018/19","Eibar",38,"L","L","W","D","W","L","L","W","D","L","W","D","W","L","D","D","D","D","L","W","D","W","D","D","L","W","D","L","D","W","L","D","L","L","W","W","L","D"
"2018/19","Espanyol",38,"D","W","L","W","L","W","D","W","W","D","W","L","L","L","L","L","L","W","L","L","L","D","W","D","D","W","D","L","L","D","W","W","D","D","D","W","W","W"
"2018/19","Getafe",38,"L","W","D","W","L","D","D","L","W","W","D","L","D","W","D","W","D","L","W","W","L","D","W","D","W","W","W","D","L","D","W","D","W","D","L","W","L","D"
"2018/19","Girona",38,"D","L","W","W","D","L","D","L","D","W","W","D","W","D","L","L","D","D","D","L","L","L","L","W","D","W","L","W","L","L","L","L","L","L","W","L","L","L"
"2018/19","Huesca",38,"W","D","L","L","L","L","D","L","L","L","D","L","D","L","L","D","L","W","L","L","D","W","W","L","D","W","L","L","L","D","D","D","D","W","D","L","L","W"
"2018/19","Leganes",38,"L","D","L","L","L","W","L","W","D","L","D","D","W","W","D","D","D","L","W","L","D","W","W","L","D","W","L","L","W","W","D","D","L","L","D","W","L","L"
"2018/19","Levante",38,"W","L","D","L","L","L","W","W","W","W","D","L","D","W","D","L","L","D","L","W","L","D","L","W","L","L","L","D","D","L","D","L","D","W","L","W","W","D"
"2018/19","Rayo Vallecano",38,"L","L","D","W","L","D","D","L","L","L","L","D","L","W","L","L","W","W","W","D","W","L","L","L","L","L","L","L","D","L","W","L","D","L","W","L","L","D"
"2018/19","Real Betis",38,"L","D","W","D","D","W","W","L","L","L","D","W","L","W","W","W","D","L","L","W","L","W","L","D","W","L","W","L","D","L","W","L","L","L","D","L","W","W"
"2018/19","Real Madrid",38,"W","W","W","D","W","L","D","L","L","L","W","W","L","W","W","W","D","L","W","W","W","W","W","L","W","L","W","W","W","L","W","D","W","D","L","W","L","L"
"2018/19","Real Sociedad",38,"W","D","L","L","W","D","L","W","D","L","D","W","W","L","L","L","L","W","W","D","D","W","D","W","D","L","L","D","D","W","L","D","L","L","W","W","W","L"
"2018/19","Sevilla",38,"W","D","L","L","W","W","W","W","L","W","D","W","W","D","D","W","D","D","L","L","W","L","D","L","L","L","W","W","L","W","W","W","L","W","L","L","D","W"
"2018/19","Valencia",38,"D","L","D","D","D","D","W","D","D","D","L","W","W","L","D","D","W","L","D","W","W","D","D","D","D","W","W","D","W","W","L","W","W","L","L","W","W","W"
"2018/19","Valladolid",38,"D","L","D","L","D","W","W","W","W","D","L","D","L","L","W","L","D","L","D","L","W","L","D","L","L","L","L","W","D","L","L","D","D","W","L","W","W","L"
"2018/19","Villarreal",38,"L","D","L","W","D","W","L","L","D","L","D","D","W","L","L","D","D","D","L","D","L","D","D","W","L","L","W","W","L","D","L","W","W","W","D","L","W","D"
"2019/20","Alaves",38,"W","D","D","L","L","L","W","L","W","L","D","L","W","W","L","L","D","L","D","W","L","D","W","L","W","D","D","L","W","L","L","L","L","L","L","D","W","L"
"2019/20","Athletic Bilbao",38,"W","D","W","D","W","D","L","L","D","L","W","D","W","W","W","L","D","D","D","D","D","L","L","L","L","W","W","D","D","W","L","W","W","L","L","W","L","L"
"2019/20","Atletico Madrid",38,"W","W","W","L","D","W","D","D","D","W","D","D","W","D","L","D","W","W","W","L","D","L","W","D","W","D","D","D","W","W","W","W","D","W","D","W","W","D"
"2019/20","Barcelona",38,"L","W","D","W","L","W","W","W","W","D","W","L","W","W","W","W","D","W","D","W","L","W","W","W","W","L","W","W","W","D","W","D","D","W","W","W","L","W"
"2019/20","Celta Vigo",38,"L","W","D","L","D","D","L","W","L","L","L","L","L","W","D","L","D","L","D","D","D","L","W","D","W","D","D","L","D","W","W","D","L","D","D","L","L","D"
"2019/20","Eibar",38,"L","D","L","L","D","W","W","D","L","L","W","W","L","L","L","L","D","W","L","W","D","D","L","L","L","W","L","L","D","D","W","W","L","L","D","W","W","L"
"2019/20","Espanyol",38,"L","D","L","W","L","D","L","L","L","W","L","L","L","D","L","L","D","L","D","W","D","L","W","D","L","D","L","W","D","L","L","L","L","L","L","L","L","D"
"2019/20","Getafe",38,"L","D","D","D","W","D","L","W","W","L","W","W","D","D","W","W","W","L","L","W","W","W","W","L","L","W","D","L","D","D","D","W","L","D","L","D","L","L"
"2019/20","Granada",38,"D","L","W","W","W","D","W","L","W","W","L","L","L","D","L","W","L","L","W","L","L","W","L","W","W","D","D","W","D","L","D","L","W","D","W","L","W","W"
"2019/20","Leganes",38,"L","L","L","L","D","D","L","L","L","W","L","L","D","L","L","W","D","W","D","L","D","W","L","D","L","D","W","L","L","D","D","L","L","W","D","W","W","D"
"2019/20","Levante",38,"L","W","W","L","D","L","D","W","L","L","W","W","L","W","L","L","W","W","L","L","L","L","W","L","W","L","D","D","D","W","L","W","D","D","L","L","W","W"
"2019/20","Mallorca",38,"W","L","L","D","L","L","L","W","W","L","D","L","W","L","L","L","D","L","L","W","L","L","L","W","D","L","W","L","L","D","L","L","W","L","W","L","L","D"
"2019/20","Osasuna",38,"W","D","D","D","D","L","D","W","L","W","D","W","D","L","W","D","L","L","D","D","W","L","L","W","L","L","W","D","L","L","W","W","W","D","L","W","W","D"
"2019/20","Real Betis",38,"L","L","W","D","D","W","L","D","L","L","W","D","L","W","W","W","D","L","D","W","L","D","L","D","D","L","W","L","D","L","W","L","L","D","W","L","L","L"
"2019/20","Real Madrid",38,"W","D","D","W","W","W","D","W","L","D","W","D","W","W","W","W","D","D","W","W","W","W","W","D","L","W","L","W","W","W","W","W","W","W","W","W","W","D"
"2019/20","Real Sociedad",38,"D","W","L","W","W","W","L","L","W","W","L","W","D","L","W","D","D","W","L","L","W","L","W","W","W","W","L","D","L","L","L","L","W","D","L","W","D","D"
"2019/20","Sevilla",38,"W","W","D","W","L","L","W","L","W","W","D","D","W","W","W","D","L","W","D","L","W","D","L","D","W","W","D","W","D","D","D","D","W","W","W","W","D","W"
"2019/20","Valencia",38,"D","L","W","L","D","D","W","W","D","L","D","W","W","L","W","W","D","D","W","L","W","W","L","D","L","W","D","D","L","W","L","L","L","D","W","L","W","L"
"2019/20","Valladolid",38,"W","D","L","D","L","D","W","D","D","W","L","W","L","L","D","D","L","D","D","D","L","W","D","L","W","L","L","W","D","L","D","D","D","W","L","L","L","W"
"2019/20","Villarreal",38,"D","L","D","W","W","L","W","L","W","W","L","D","L","L","L","D","W","W","W","L","W","W","D","W","L","L","L","W","W","W","D","W","W","L","W","L","L","W"
